Policy_Number,Customer_ID,Vehicle_ID,Vehicle_Make,Policy_Start_Date,Policy_End_Date,Premium_Amount,Claim_Number,Payment_Date,Payment_Method,Coverage_Type,Agent_ID,Region_Name,Policy_Term,Deductible,Claim_Date,Claim_Amount,Claim_Status,Claim_Type
P51426214,CUST0056,V984436,Nissan,10/29/2023,6/26/2024,1865,CLM8544,11/8/2024,Bank Transfer,Third Party,AG101,North,12 months,959,11/27/2024,2620,Approved,Vandalism
P71800632,CUST0057,V494861,Toyota,4/10/2022,1/9/2025,786,CLM5161,2/19/2024,Bank Transfer,Comprehensive,AG101,East,6 months,280,6/6/2024,8456,Pending,Accident
P75297047,CUST0058,V255595,Hyundai,3/13/2023,10/8/2025,1269,CLM1762,9/20/2024,Cash,Collision,AG102,Central,6 months,176,4/6/2023,2907,Approved,Theft
P48410708,CUST0059,V495404,Hyundai,10/1/2023,7/1/2024,1483,CLM9802,4/14/2024,Bank Transfer,Comprehensive,AG104,East,6 months,231,12/15/2023,4883,Approved,Vandalism
P53488513,CUST0060,V854823,Volkswagen,5/31/2023,7/29/2025,921,CLM7010,12/23/2023,Bank Transfer,Comprehensive,AG104,South,6 months,447,8/22/2024,7066,Pending,Theft
P27361735,CUST0061,V857193,Nissan,9/22/2022,6/2/2025,745,CLM5482,7/10/2024,Credit Card,Third Party,AG100,West,12 months,959,11/6/2023,4236,Approved,Vandalism
P50619545,CUST0062,V325549,Mercedes,3/21/2022,4/24/2025,1647,CLM7174,10/17/2024,Credit Card,Collision,AG101,West,6 months,862,4/12/2023,9965,Denied,Vandalism
P66255893,CUST0063,V739374,Volkswagen,7/19/2023,2/29/2024,1919,CLM5917,9/2/2023,Bank Transfer,Third Party,AG101,North,6 months,959,3/28/2023,5175,Approved,Flood
P26386891,CUST0064,V309261,BMW,7/30/2023,1/20/2025,583,CLM9782,5/4/2023,Credit Card,Collision,AG104,South,12 months,175,7/6/2024,6737,Denied,Accident
P11952135,CUST0065,V681225,Volkswagen,3/13/2022,1/31/2024,1158,CLM3404,5/22/2023,Credit Card,Collision,AG103,North,6 months,157,5/3/2023,7535,Pending,Vandalism
P89901884,CUST0066,V992154,Honda,10/4/2022,6/3/2025,1958,CLM2962,5/17/2023,Bank Transfer,Comprehensive,AG100,South,12 months,568,1/4/2023,2689,Pending,Flood
P28423325,CUST0067,V464984,BMW,3/12/2023,4/3/2024,1008,CLM4899,7/12/2023,Credit Card,Third Party,AG104,Central,12 months,959,9/22/2024,3901,Approved,Theft
P21420041,CUST0068,V675359,Volkswagen,3/20/2022,1/20/2024,1861,CLM4702,10/2/2023,Cash,Third Party,AG103,East,6 months,959,12/30/2024,3541,Approved,Theft
P60168480,CUST0069,V433449,Ford,11/6/2023,2/8/2024,719,CLM9973,1/14/2024,Bank Transfer,Collision,AG103,Central,12 months,141,1/7/2024,1993,Pending,Flood
P71565031,CUST0070,V598598,Ford,2/16/2023,1/3/2024,1104,CLM9822,2/26/2024,Cash,Collision,AG103,East,12 months,566,5/21/2023,6674,Denied,Accident
P92504852,CUST0071,V376906,Toyota,9/16/2022,9/2/2025,539,CLM4073,9/2/2023,Cash,Collision,AG104,Central,6 months,337,6/11/2024,6754,Approved,Vandalism
P24449902,CUST0072,V355927,BMW,11/20/2022,2/15/2025,907,CLM5356,7/7/2023,Bank Transfer,Comprehensive,AG100,Central,12 months,669,12/6/2024,6101,Approved,Accident
P17404558,CUST0073,V983017,Toyota,3/9/2023,10/8/2024,1541,CLM5047,7/29/2023,Cash,Collision,AG100,North,6 months,257,10/13/2024,3325,Pending,Theft
P50967769,CUST0074,V590452,Honda,8/19/2023,1/27/2025,1361,CLM1466,4/15/2024,Cash,Collision,AG103,North,12 months,550,4/17/2024,1979,Approved,Vandalism
P51241531,CUST0075,V446795,Volkswagen,8/18/2022,12/14/2024,1778,CLM5774,5/29/2024,Cash,Third Party,AG101,West,6 months,959,4/14/2024,7920,Denied,Flood
P37388377,CUST0076,V223828,Toyota,11/1/2023,3/23/2025,1195,CLM3922,12/17/2024,Cash,Collision,AG103,East,6 months,887,12/6/2023,5323,Pending,Flood
P12487694,CUST0077,V212872,Volkswagen,12/18/2022,6/30/2024,591,CLM9617,1/30/2023,Credit Card,Third Party,AG104,North,6 months,959,1/26/2024,4306,Approved,Vandalism
P40034550,CUST0078,V539988,Honda,11/27/2022,5/17/2025,781,CLM8547,12/13/2024,Credit Card,Comprehensive,AG103,North,12 months,696,12/4/2024,4992,Approved,Flood
P20039001,CUST0079,V797503,Hyundai,7/31/2023,7/9/2024,1378,CLM6263,9/24/2024,Credit Card,Third Party,AG103,West,6 months,959,2/6/2024,4331,Pending,Flood
P69585055,CUST0080,V733361,Honda,6/6/2022,1/27/2024,955,CLM7208,6/26/2024,Credit Card,Collision,AG103,West,12 months,918,1/30/2024,1690,Pending,Theft
P39732006,CUST0081,V142805,Hyundai,4/13/2023,2/1/2025,893,CLM4404,1/3/2023,Credit Card,Third Party,AG101,East,6 months,959,11/4/2024,4799,Pending,Flood
P69433242,CUST0082,V709529,Ford,9/5/2023,6/21/2025,565,CLM4425,12/24/2023,Cash,Collision,AG103,South,12 months,438,5/14/2023,3079,Approved,Theft
P10525920,CUST0083,V245684,BMW,11/26/2022,2/6/2024,1096,CLM1793,9/12/2024,Bank Transfer,Comprehensive,AG103,West,12 months,628,9/11/2023,9094,Approved,Accident
P76363708,CUST0084,V821771,Ford,2/27/2023,7/18/2025,850,CLM7300,9/22/2024,Credit Card,Comprehensive,AG103,North,12 months,376,7/8/2023,3282,Denied,Flood
P37904829,CUST0085,V923074,Hyundai,12/26/2023,9/28/2025,722,CLM8425,10/9/2023,Cash,Comprehensive,AG103,South,6 months,730,10/14/2024,2738,Approved,Flood
P39538998,CUST0086,V114457,Nissan,6/15/2022,6/23/2025,1875,CLM2421,9/4/2023,Cash,Collision,AG103,Central,12 months,105,1/25/2024,2654,Denied,Flood
P46561535,CUST0087,V405386,Nissan,8/18/2022,3/24/2025,1377,CLM6797,10/24/2023,Cash,Third Party,AG101,North,12 months,959,3/26/2024,8257,Denied,Vandalism
P82700921,CUST0088,V448265,Chevrolet,7/30/2022,7/25/2025,858,CLM8020,7/4/2023,Credit Card,Third Party,AG103,West,6 months,959,3/25/2024,5302,Pending,Vandalism
P64423579,CUST0089,V610937,Ford,10/18/2022,4/11/2025,1114,CLM2601,12/16/2023,Bank Transfer,Comprehensive,AG108,South,12 months,142,6/8/2023,5495,Approved,Flood
P18910480,CUST0090,V680209,Nissan,11/16/2022,7/7/2024,600,CLM1647,12/20/2023,Bank Transfer,Comprehensive,AG100,South,12 months,811,8/28/2023,8352,Pending,Flood
P13563416,CUST0091,V324604,Mercedes,2/14/2022,9/1/2025,1778,CLM5324,2/2/2023,Cash,Collision,AG103,West,6 months,904,6/17/2024,8352,Denied,Theft
P50617963,CUST0092,V836661,Nissan,3/14/2023,10/1/2024,559,CLM8241,3/12/2024,Cash,Collision,AG101,West,12 months,486,2/10/2023,8352,Denied,Vandalism
P66278552,CUST0093,V925472,Chevrolet,11/17/2023,6/5/2024,1286,CLM4710,10/28/2023,Bank Transfer,Collision,AG103,North,6 months,886,9/7/2024,8352,Pending,Accident
P22812742,CUST0094,V571880,Nissan,10/21/2023,8/29/2024,1359,CLM6341,9/20/2024,Cash,Collision,AG102,North,12 months,194,12/4/2023,8352,Denied,Vandalism
P55305152,CUST0095,V732334,Nissan,4/11/2023,7/17/2024,579,CLM6469,2/9/2024,Cash,Third Party,AG102,South,12 months,959,6/27/2024,8352,Denied,Vandalism
P88223006,CUST0096,V165909,Honda,6/10/2022,1/14/2024,1934,CLM3295,10/16/2024,Credit Card,Third Party,AG103,North,12 months,959,7/13/2024,8352,Denied,Theft
P54901510,CUST0097,V370336,Nissan,10/11/2022,9/1/2025,1516,CLM6255,5/1/2024,Cash,Collision,AG103,East,12 months,587,10/10/2023,8352,Approved,Accident
P36649124,CUST0098,V199765,Honda,3/27/2023,1/10/2025,1150,CLM4188,6/20/2024,Credit Card,Comprehensive,AG103,East,12 months,583,9/7/2024,8352,Approved,Accident
P67670308,CUST0099,V618725,BMW,12/6/2022,4/9/2025,1173,CLM3735,7/25/2023,Cash,Comprehensive,AG104,North,12 months,250,4/4/2023,8352,Approved,Accident
P35960570,CUST0100,V823736,Kia,11/23/2022,5/27/2025,856,CLM2594,8/30/2024,Cash,Comprehensive,AG103,Central,6 months,538,10/13/2023,8352,Denied,Accident
P23119014,CUST0101,V218564,BMW,4/26/2022,5/2/2025,501,CLM2728,12/11/2024,Cash,Comprehensive,AG101,West,12 months,871,4/14/2024,8352,Approved,Accident
P64843274,CUST0102,V556373,Mercedes,10/9/2022,5/5/2024,1252,CLM8665,10/9/2024,Credit Card,Collision,AG103,South,6 months,351,4/11/2024,8352,Denied,Accident
P67248684,CUST0103,V808573,BMW,6/17/2023,9/21/2025,1893,CLM7324,8/18/2024,Cash,Collision,AG103,West,12 months,687,6/4/2024,8352,Denied,Accident
P39773086,CUST0104,V660566,Mercedes,11/18/2022,8/30/2024,1701,CLM2038,9/27/2023,Bank Transfer,Comprehensive,AG103,West,6 months,584,4/23/2024,8352,Approved,Accident
P91573501,CUST0105,V799447,Volkswagen,2/19/2023,2/8/2025,1128,CLM8441,4/17/2023,Cash,Comprehensive,AG103,Central,6 months,557,12/2/2024,8352,Denied,Accident
P77993039,CUST0106,V682242,Hyundai,5/20/2023,5/12/2024,897,CLM1773,7/26/2023,Cash,Comprehensive,AG103,South,6 months,479,12/1/2023,8352,Denied,Accident
P19248115,CUST0107,V813347,BMW,11/9/2022,7/21/2024,1752,CLM7034,7/26/2024,Credit Card,Comprehensive,AG103,Central,12 months,660,10/3/2024,8352,Approved,Accident
P42254176,CUST0108,V744973,Chevrolet,7/24/2023,7/19/2025,1785,CLM1489,11/8/2023,Cash,Collision,AG100,West,6 months,925,1/14/2024,8352,Denied,Accident
P17121203,CUST0109,V536680,Chevrolet,4/10/2023,9/13/2024,1570,CLM6693,11/2/2023,Credit Card,Collision,AG103,Central,6 months,598,10/26/2024,8352,Pending,Accident
P51294996,CUST0110,V813828,BMW,4/19/2022,8/12/2024,1690,CLM1293,2/25/2024,Bank Transfer,Third Party,AG101,Central,12 months,959,1/22/2023,8352,Approved,Accident
P87613275,CUST0111,V933581,Hyundai,2/27/2023,6/12/2024,970,CLM2306,10/28/2024,Cash,Third Party,AG103,East,6 months,959,10/22/2024,8352,Approved,Accident
P50678024,CUST0112,V246107,Ford,11/23/2023,7/15/2024,1979,CLM5318,10/4/2023,Cash,Collision,AG101,West,12 months,309,7/19/2024,8352,Approved,Accident
P66380029,CUST0113,V229075,Toyota,6/12/2023,4/10/2024,1879,CLM7617,10/18/2024,Cash,Third Party,AG102,West,6 months,959,6/13/2023,8352,Approved,Accident
P11226113,CUST0114,V740867,Honda,10/19/2023,5/23/2024,1760,CLM1595,4/23/2023,Credit Card,Comprehensive,AG101,West,12 months,551,1/25/2024,8352,Pending,Accident
P68459453,CUST0115,V256095,Nissan,3/11/2022,1/5/2024,1902,CLM9846,6/30/2024,Credit Card,Comprehensive,AG103,West,12 months,910,2/16/2023,8352,Denied,Accident
P80620679,CUST0116,V840962,Volkswagen,11/19/2023,5/6/2024,1039,CLM1066,6/17/2023,Cash,Comprehensive,AG102,Central,6 months,727,7/1/2024,8352,Pending,Accident
P75894764,CUST0117,V584622,Ford,5/30/2022,2/27/2024,1141,CLM9587,3/26/2024,Credit Card,Comprehensive,AG103,North,12 months,167,7/27/2023,8352,Denied,Accident
P26043094,CUST0118,V578877,Honda,4/18/2023,7/23/2024,871,CLM2514,6/11/2023,Cash,Third Party,AG101,South,12 months,959,9/1/2024,8352,Denied,Accident
P54697689,CUST0119,V316837,Honda,6/19/2022,7/4/2025,719,CLM4367,4/28/2023,Bank Transfer,Comprehensive,AG100,East,12 months,280,8/15/2024,8352,Pending,Accident
P92023825,CUST0120,V558261,Nissan,11/22/2022,10/31/2025,1221,CLM5052,10/7/2024,Bank Transfer,Collision,AG104,West,12 months,734,11/10/2024,8352,Approved,Accident
P81617794,CUST0121,V713970,BMW,9/3/2023,6/5/2025,1115,CLM8591,1/16/2023,Bank Transfer,Third Party,AG101,East,12 months,959,11/18/2024,8352,Pending,Accident
P52355840,CUST0122,V709293,Chevrolet,5/4/2023,6/4/2024,1306,CLM1827,9/22/2023,Cash,Comprehensive,AG100,West,6 months,341,11/7/2024,8352,Denied,Accident
P71946606,CUST0123,V622591,BMW,10/3/2022,6/11/2025,1826,CLM2661,11/18/2023,Bank Transfer,Third Party,AG103,Central,12 months,959,1/13/2023,8352,Denied,Accident
P56291667,CUST0124,V599448,Kia,4/1/2023,8/21/2025,518,CLM8697,7/9/2023,Cash,Collision,AG103,East,6 months,238,11/28/2024,8352,Denied,Accident
P92974761,CUST0125,V822192,Nissan,10/14/2022,9/18/2024,1828,CLM8201,12/6/2023,Cash,Comprehensive,AG103,East,12 months,872,10/6/2024,8352,Pending,Accident
P54257517,CUST0126,V183111,BMW,3/2/2022,2/3/2025,1791,CLM6667,10/26/2023,Credit Card,Collision,AG104,West,12 months,694,5/19/2024,8352,Approved,Accident
P52123551,CUST0127,V620163,Mercedes,2/19/2022,8/22/2025,1472,CLM8639,2/5/2023,Cash,Third Party,AG100,East,6 months,959,1/2/2023,8352,Approved,Accident
P53433116,CUST0128,V822945,Nissan,3/9/2022,7/1/2024,1967,CLM9050,5/19/2024,Credit Card,Third Party,AG103,Central,12 months,959,2/27/2024,8352,Pending,Accident
P67317586,CUST0129,V418666,Honda,5/10/2023,5/31/2024,676,CLM9456,3/5/2023,Bank Transfer,Comprehensive,AG103,East,12 months,767,11/17/2023,8352,Pending,Accident
P12154516,CUST0130,V105914,Hyundai,11/11/2023,5/18/2024,958,CLM3798,4/23/2024,Cash,Comprehensive,AG102,East,6 months,196,8/25/2023,8352,Denied,Accident
P72596914,CUST0131,V831382,BMW,7/29/2022,4/3/2025,768,CLM2230,10/7/2023,Credit Card,Comprehensive,AG101,Central,12 months,420,6/28/2024,8352,Denied,Accident
P55367139,CUST0132,V703874,Hyundai,7/19/2023,2/24/2025,1278,CLM4678,9/26/2023,Cash,Comprehensive,AG101,Central,6 months,113,3/28/2023,8352,Pending,Accident
P16312938,CUST0133,V244884,Mercedes,2/8/2022,1/15/2024,1225,CLM4222,12/31/2023,Cash,Third Party,AG104,West,6 months,959,8/26/2023,8352,Denied,Accident
P93401681,CUST0134,V960710,Mercedes,9/8/2022,9/20/2024,865,CLM5808,1/5/2024,Cash,Third Party,AG100,East,6 months,959,5/2/2023,8352,Pending,Accident
P26841554,CUST0135,V681740,Honda,4/9/2023,11/10/2024,980,CLM8044,2/20/2024,Credit Card,Comprehensive,AG101,East,12 months,920,7/13/2023,8352,Denied,Accident
P82529568,CUST0136,V367335,Kia,2/21/2022,9/21/2025,696,CLM3906,10/5/2023,Credit Card,Third Party,AG103,West,6 months,959,8/16/2023,8352,Denied,Accident
P88064067,CUST0137,V902625,Ford,11/13/2023,11/5/2025,1935,CLM6940,2/7/2024,Bank Transfer,Collision,AG101,East,12 months,285,9/21/2024,8352,Approved,Accident
P26697573,CUST0138,V851446,Kia,10/22/2022,4/29/2025,912,CLM6952,12/18/2024,Cash,Comprehensive,AG103,North,6 months,107,7/3/2024,8352,Pending,Accident
P60675127,CUST0139,V716771,Hyundai,10/12/2023,3/3/2024,1137,CLM7670,6/8/2024,Cash,Third Party,AG103,Central,6 months,959,5/25/2024,8352,Pending,Accident
P16905553,CUST0140,V448457,Kia,11/28/2023,4/15/2024,1023,CLM3042,1/13/2023,Bank Transfer,Third Party,AG100,North,6 months,959,5/22/2023,8352,Approved,Accident
P24702995,CUST0141,V979171,Volkswagen,8/3/2022,12/12/2025,1007,CLM1062,6/8/2023,Credit Card,Collision,AG100,South,6 months,386,11/22/2023,8352,Approved,Accident
P70187190,CUST0142,V588567,Nissan,6/14/2023,5/11/2025,1213,CLM5733,10/15/2023,Credit Card,Collision,AG103,East,12 months,799,5/5/2023,8352,Approved,Accident
P15559963,CUST0143,V185828,Mercedes,5/3/2022,6/2/2025,592,CLM2584,12/26/2024,Credit Card,Third Party,AG101,West,6 months,959,10/22/2024,8352,Denied,Accident
P81428509,CUST0144,V769963,BMW,11/22/2022,1/6/2024,1852,CLM9372,5/31/2023,Bank Transfer,Collision,AG100,East,12 months,810,2/2/2023,8352,Approved,Accident
P10131213,CUST0145,V642201,Kia,5/15/2022,5/2/2025,1204,CLM2959,3/10/2024,Credit Card,Third Party,AG100,Central,6 months,959,9/30/2024,8352,Approved,Accident
P19782480,CUST0146,V623170,Toyota,1/15/2022,11/9/2025,1614,CLM9622,3/8/2023,Cash,Collision,AG100,West,6 months,409,9/16/2023,8352,Pending,Accident
P99945332,CUST0147,V309519,Nissan,2/18/2023,5/30/2025,1750,CLM2667,8/2/2023,Bank Transfer,Comprehensive,AG100,North,12 months,128,5/23/2024,2758,Pending,Accident
P46101402,CUST0148,V192002,Hyundai,3/12/2022,7/27/2024,1328,CLM6793,5/31/2023,Bank Transfer,Third Party,AG103,North,6 months,959,4/8/2024,5251,Approved,Accident
P51627881,CUST0149,V260955,Mercedes,8/18/2022,10/8/2024,1345,CLM5919,12/19/2024,Cash,Comprehensive,AG104,Central,6 months,208,7/1/2023,7805,Denied,Accident
P24570417,CUST0150,V355125,Nissan,4/27/2022,3/28/2025,526,CLM5273,4/26/2024,Credit Card,Third Party,AG103,South,12 months,959,2/19/2024,5078,Approved,Accident
